A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Goobling,It’s Slime Time!,31,38,52,887,0.03494926719278467,0.04284103720405862,0.058624577226606536,13.915485829959517,3.7986193731032616
Bag of Stones,Stone,22,44,38,887,0.02480270574971815,0.0496054114994363,0.04284103720405862,11.671052631578947,3.5448627808574784
Hammer,Poison Dagger,51,54,76,887,0.05749718151071026,0.060879368658399095,0.08568207440811725,11.022660818713453,3.462400620665506
Hammer,Knife to Meet You,20,54,31,887,0.02254791431792559,0.060879368658399095,0.03494926719278467,10.597371565113502,3.4056345766380827
Puzzle Badge,Puzzlebag of Love,24,66,31,887,0.02705749718151071,0.07440811724915446,0.03494926719278467,10.404692082111437,3.3791623652768914
Ace of Spades,The Lovers,45,62,62,887,0.05073280721533258,0.06989853438556934,0.06989853438556934,10.383714880332986,3.376250769856988
Chili Pepper,Cupcake,21,48,39,887,0.02367531003382187,0.05411499436302142,0.043968432919954906,9.950320512820513,3.3147429974964195
Puzzle Badge,Puzzlebag of Endurance,24,66,34,887,0.02705749718151071,0.07440811724915446,0.038331454340473504,9.48663101604278,3.245895834413427
Ace of Spades,The Fool,31,62,49,887,0.03494926719278467,0.06989853438556934,0.0552423900789177,9.051020408163264,3.1780804501858557
Acorn Collar,Leaf Badge,30,39,77,887,0.033821871476888386,0.043968432919954906,0.08680947012401354,8.86113886113886,3.1474921303524326
Bloody Dagger,Hammer,34,65,54,887,0.038331454340473504,0.07328072153325817,0.060879368658399095,8.592022792022792,3.10299782035948
Flame,Flame Badge,62,76,85,887,0.06989853438556934,0.08568207440811725,0.09582863585118377,8.513003095975233,3.089668155106652
Jimbo,The Fool,28,61,49,887,0.03156708004509583,0.06877113866967305,0.0552423900789177,8.30913348946136,3.0546980346805737
Magic Torch,Manathirst,23,44,57,887,0.02593010146561443,0.0496054114994363,0.06426155580608793,8.134370015948964,3.024030617556038
Amulet of Feasting,Cupcake,25,71,39,887,0.02818489289740699,0.08004509582863585,0.043968432919954906,8.008306247742867,3.001497145708858
Flame Badge,Turbo-Shelly,49,85,64,887,0.0552423900789177,0.09582863585118377,0.07215332581736189,7.989522058823529,2.9981092022785703
Amulet of Feasting,Cheese,20,71,32,887,0.02254791431792559,0.08004509582863585,0.036076662908680945,7.808098591549296,2.964971269683744
Flame,Turbo-Shelly,42,76,64,887,0.04735062006764374,0.08568207440811725,0.07215332581736189,7.659128289473685,2.9371802036362387
The Fool,The Lovers,26,49,62,887,0.029312288613303268,0.0552423900789177,0.06989853438556934,7.591178406846609,2.9243238579400725
Strong Divine Potion,Strong Vampiric Potion,31,75,52,887,0.03494926719278467,0.08455467869222097,0.058624577226606536,7.050512820512822,2.8177281960509664
Ace of Spades,Jimbo,30,62,61,887,0.033821871476888386,0.06989853438556934,0.06877113866967305,7.0359598096245355,2.8147472419598207
Leaf Badge,Red Orchid Collar,23,77,38,887,0.02593010146561443,0.08680947012401354,0.04284103720405862,6.972317156527682,2.8016381962195895
Darkest Lotus,White-Eyes Blue Dragon,20,38,67,887,0.02254791431792559,0.04284103720405862,0.07553551296505073,6.967792615868029,2.8007016852870685
Amulet of Feasting,Chili Pepper,25,71,48,887,0.02818489289740699,0.08004509582863585,0.05411499436302142,6.506748826291079,2.70193686384995
Cauldron,Strong Mana Potion,39,121,44,887,0.043968432919954906,0.13641488162344984,0.0496054114994363,6.49755822689707,2.6998976572514204
