item_name,cnt,matches,avg_round
Leather Bag,15922,887,9.515450320311519
Fanny Pack,13212,879,10.74371783227369
Stamina Sack,9752,840,12.126845775225595
Piggybank,9251,773,8.348827153821208
Storage Coffin,9049,507,9.453862305227096
Relic Case,8226,457,9.5
Potion Belt,8100,809,12.803703703703704
Banana,7769,651,8.744111211224096
Protective Purse,6397,814,13.947788025637017
Shelly,6044,495,11.402051621442753
Garlic,5428,600,7.60759027266028
Blueberries,5403,518,11.03164908384231
Shiny Shell,4754,699,7.999368952461086
Corrupted Crystal,4585,767,12.319302071973828
Fly Agaric,4579,513,8.513212491810439
Healing Herbs,4567,546,8.117363696080577
Box of Riches,4060,506,11.118472906403941
Mr. Struggles,3832,349,13.001304801670146
Customer Card,3697,483,10.201244252096295
Toad,3650,461,12.635890410958904
Star of Courage,3627,305,8.89605734767025
Deck of Cards,3618,332,11.056384742951908
Chipped Amethyst,3439,476,11.694969467868566
Pocket Sand,3437,493,8.223159732324701
Health Potion,3395,731,9.219440353460971
Mrs. Struggles,3236,348,13.545426452410384
Cap of Discomfort,3126,497,14.591170825335892
Chipped Topaz,3109,468,11.256995818591188
Cap of Resilience,3064,720,12.683420365535248
Broom,2934,679,4.004430811179278
Mana Orb,2850,444,12.729473684210527
Sir Sand,2847,256,12.258868984896383
Stone,2806,535,6.414112615823236
Oil Lamp,2676,320,12.425635276532137
Chipped Ruby,2641,449,11.700492237788717
Chipped Emerald,2616,451,11.202599388379205
Snow Stick,2524,226,12.515451664025356
Jynx torquilla,2492,491,12.81661316211878
Lump of Coal,2411,481,7.555371215263376
Corrupted Armor,2406,315,14.120947630922693
Snowball,2234,451,12.558191584601612
Burning Coal,2232,243,12.630824372759857
False Life,2228,176,11.596499102333931
Blood Amulet,2158,399,12.848470806302132
Strong Health Potion,2094,262,11.366284622731614
Gloves of Haste,2089,334,10.523695548109144
Prismatic Orb,2070,466,14.628019323671497
Nocturnal Lock Lifter,2068,188,13.0
Chipped Sapphire,2047,381,11.457743038593064
Spiked Shield,2039,223,8.70426679744973
Cursed Dagger,1960,179,12.995408163265306
Bag of Stones,1852,369,8.375809935205183
Flawed Amethyst,1814,300,13.890297684674753
Maneki-neko,1779,353,14.911748173130972
Miss Fortune,1776,211,13.708333333333334
Shovel,1711,270,6.134424313267095
Flawed Topaz,1677,291,13.637447823494336
Demonic Flask,1668,511,13.65167865707434
Snake,1615,147,13.006191950464396
Amulet of the Wild,1611,182,11.309124767225326
Platinum Customer Card,1607,212,13.715619166148102
Stone Skin Potion,1607,430,12.225264467952707
Piggy Pinata,1568,118,9.769132653061224
Amulet of Life,1534,178,11.447848761408084
Cauldron,1521,142,12.920447074293229
Death Scythe,1488,161,12.991263440860216
Smelly Wall,1460,93,10.431506849315069
Amulet of Darkness,1457,175,11.360329444063144
Amulet of Steel,1452,160,11.5633608815427
Blood Manipulation,1431,118,11.77288609364081
Ruby Whelp,1374,260,13.462882096069869
Divine Potion,1334,370,14.678410794602698
Fancy Fencing Rapier,1330,158,13.358646616541353
No Rush Please,1329,109,11.905191873589164
Strong Heroic Potion,1320,195,13.98030303030303
Amulet of Energy,1314,160,12.036529680365296
Flawed Ruby,1297,240,13.925983037779492
Bloodthorne,1296,133,13.064043209876543
Holy Armor,1292,433,11.595975232198143
Flawed Emerald,1289,226,13.591155934833203
Leather Boots,1274,303,11.43563579277865
The Lovers,1264,128,9.716772151898734
Flame,1232,135,10.867694805194805
Glowing Crown,1227,328,14.842705786471068
Leather Armor,1220,323,8.36639344262295
Flame Badge,1210,90,10.503305785123967
Hungry Blade,1202,286,8.836106489184692
Power of the Moon,1193,97,11.745180217937971
Holo Fire Lizard,1192,193,13.493288590604028
Pestilence Flask,1189,307,10.820016820857864
Flute,1187,167,12.467565290648695
Crow,1180,236,15.321186440677966
Wooden Buckler,1180,370,4.785593220338983
Pan,1172,457,2.8353242320819114
Goobert,1152,247,8.274305555555555
Shell Totem,1151,197,5.950477845351868
Poison Frog,1126,121,12.91474245115453
Amulet of Alchemy,1125,139,11.378666666666666
Whetstone,1115,346,4.598206278026906
Stone Armor,1114,120,13.168761220825854
Wolpertinger,1104,223,15.034420289855072
Dagger,1094,193,8.352833638025594
Heart Container,1092,221,14.31959706959707
Echoing Battlecry,1091,97,12.394133822181486
Shield of Valor,1091,245,13.397800183318056
Leaf Badge,1087,81,10.524379024839007
Shielded,1081,99,12.373728029602221
Heavy Drinking,1068,90,11.936329588014981
Strong Pestilence Flask,1063,120,13.184383819379116
Heroic Potion,1052,320,12.815589353612168
Hammer,1049,97,9.358436606291706
Amulet of Fortune,1041,142,12.098943323727186
Flawed Sapphire,1028,209,13.837548638132295
Wooden Sword,1018,536,2.7593320235756384
Pineapple,1008,129,11.364087301587302
Doom Cap,1003,163,14.649052841475573
Stone Helm,947,184,14.998944033790918
It’s Slime Time!,939,64,10.217252396166135
Puzzle Badge,925,69,10.654054054054054
Djinn Lamp,922,198,14.996746203904555
Amulet of Feasting,837,102,11.43010752688172
Poison Dagger,836,85,12.66866028708134
Box of Prosperity,831,104,13.689530685920577
Vampiric Gloves,827,125,14.414752116082225
Goobling,819,68,9.991452991452991
Vampiric Potion,816,139,13.610294117647058
Walrus Tusk,808,365,3.823019801980198
Enchanted Weapons,775,68,12.201290322580645
Vampiric Armor,771,115,14.293125810635539
Ace of Spades,769,87,12.11963589076723
Strong Demonic Flask,767,128,14.945241199478488
Dark Ritual,758,85,13.990765171503957
White-Eyes Blue Dragon,722,111,12.563711911357341
