match_id,cluster
1,4
2,4
3,4
4,4
5,4
6,7
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,3
17,4
18,4
19,4
20,4
21,4
22,4
23,3
24,4
25,4
26,4
27,4
28,4
29,4
30,2
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,1
39,4
40,3
41,4
42,4
43,4
44,6
45,2
46,3
47,0
48,4
49,4
50,6
51,2
52,2
53,1
54,1
55,0
56,4
57,1
58,7
59,3
60,2
61,2
62,6
63,3
64,2
65,2
66,1
67,7
68,4
69,3
70,0
71,4
72,7
73,2
74,5
75,2
76,7
77,4
78,6
79,1
80,7
81,2
82,2
83,0
84,1
85,5
86,3
87,1
88,1
89,0
90,3
91,2
92,2
93,2
94,4
95,3
96,4
97,0
98,1
99,2
100,1
101,1
102,4
103,2
104,4
105,3
106,2
107,4
108,4
109,6
110,4
111,6
112,2
113,4
114,6
115,7
116,4
117,1
118,3
119,0
120,4
121,4
122,3
123,0
124,4
125,4
126,6
127,0
128,2
129,3
130,4
131,7
132,4
133,6
134,3
135,3
136,3
137,6
138,4
139,7
140,2
141,3
142,2
143,3
144,3
145,2
146,3
147,1
148,5
149,6
150,3
151,2
152,0
153,0
154,1
155,2
156,5
157,2
158,5
159,0
160,2
161,6
162,6
163,6
164,0
165,1
166,2
167,6
168,1
169,0
170,5
171,2
172,3
173,7
174,2
175,3
176,2
177,5
178,5
179,0
180,2
181,3
182,2
183,2
184,0
185,3
186,2
187,3
188,6
189,3
190,7
191,6
192,0
193,0
194,0
195,0
196,7
197,7
198,5
199,0
200,1
201,3
202,2
203,1
204,0
205,3
206,7
207,1
208,5
209,7
210,1
211,2
212,6
213,1
214,0
215,2
216,7
217,0
218,3
219,0
220,2
221,6
222,0
223,1
224,1
225,3
226,6
227,2
228,7
229,0
230,2
231,6
232,6
233,7
234,6
235,7
236,2
237,7
238,6
239,6
240,5
241,2
242,7
243,5
244,5
245,3
246,0
247,6
248,6
249,6
250,1
251,7
252,1
253,0
254,6
255,5
256,6
257,0
258,3
259,3
260,5
261,1
262,1
263,1
264,6
265,5
266,3
267,3
268,3
269,0
270,6
271,6
272,6
273,7
274,2
275,0
276,2
277,6
278,7
279,5
280,3
281,0
282,6
283,6
284,7
285,0
286,5
287,3
288,5
289,1
290,6
291,7
292,7
293,5
294,2
295,3
296,3
297,1
298,2
299,3
300,5
301,3
302,2
303,3
304,6
305,0
306,6
307,6
308,0
309,6
310,5
311,0
312,5
313,6
314,0
315,0
316,7
317,6
318,0
319,5
320,0
321,2
322,2
323,6
324,6
325,7
326,1
327,0
328,0
329,5
330,6
331,3
332,0
333,6
334,7
335,6
336,1
337,3
338,0
339,2
340,6
341,7
342,6
343,0
344,1
345,0
346,2
347,3
348,7
349,0
350,2
351,0
352,2
353,6
354,3
355,3
356,2
357,7
358,1
359,0
360,0
361,1
362,5
363,2
364,3
365,2
366,1
367,2
368,2
369,0
370,6
371,0
372,1
