round,item_name,n_reached,usage_matches,usage_rate,wins_with,wins_without,winrate_with,winrate_without,delta_winrate,wilson_with_lo,wilson_with_hi,wilson_without_lo,wilson_without_hi
1,Leather Bag,887,856,0.9650507328072153,559,22,0.6302142051860203,0.02480270574971815,0.6054114994363022,0.5979465550568532,0.6613588029327153,0.016435396818536445,0.037268426622129106
1,Storage Coffin,887,507,0.5715896279594137,357,224,0.4024802705749718,0.2525366403607666,0.1499436302142052,0.37069447468528277,0.43510714032685854,0.2250530965343746,0.28215446988371823
1,Broom,887,521,0.5873731679819617,337,244,0.37993235625704624,0.2750845546786922,0.10484780157835405,0.3485725139422713,0.41232774037903563,0.24671379371379643,0.3053951333951307
1,Pan,887,390,0.43968432919954903,272,309,0.30665163472378804,0.3483652762119504,-0.04171364148816237,0.27719405411163367,0.3377767779644616,0.31772451794072115,0.3803138314134176
1,Relic Case,887,457,0.5152198421645998,271,310,0.3055242390078918,0.34949267192784667,-0.04396843291995489,0.2761025242211989,0.33662323982035464,0.31882369264342075,0.38145972474525974
1,Wooden Sword,887,415,0.46786922209695603,253,328,0.2852311161217587,0.3697857948139797,-0.084554678692221,0.2564919623925894,0.31582257702721317,0.3386411970672847,0.40205344494314676
1,Garlic,887,341,0.38444193912063135,239,342,0.26944757609921083,0.3855693348365276,-0.11612175873731678,0.241289590908444,0.29959399602777453,0.3540962844019526,0.4180293100920629
1,Shiny Shell,887,340,0.3833145434047351,219,362,0.24689966178128522,0.4081172491544532,-0.16121758737316796,0.21965339563242392,0.27632883061296026,0.3762360534647485,0.44079090172010144
1,Piggybank,887,349,0.39346110484780156,207,374,0.23337091319052988,0.42164599774520856,-0.18827508455467867,0.20672078093059482,0.26232062890028873,0.3895536382344356,0.45441413336491493
1,Banana,887,292,0.32919954904171367,206,375,0.2322435174746336,0.4227733934611049,-0.19052987598647128,0.20564481154307301,0.2611515302532688,0.3906645628819465,0.45554827675194576
1,Star of Courage,887,253,0.2852311161217587,163,418,0.18376550169109357,0.47125140924464487,-0.2874859075535513,0.15965980816478387,0.21059860814626408,0.43859531267751806,0.5041554524416682
1,Healing Herbs,887,233,0.26268320180383314,159,422,0.17925591882750846,0.47576099210823,-0.2965050732807215,0.15541296335029714,0.20586518082258393,0.44306980279830616,0.5086612344590469
1,Fly Agaric,887,221,0.2491544532130778,158,423,0.17812852311161217,0.4768883878241263,-0.29875986471251414,0.15435216183257006,0.2046809143057693,0.44418884246408274,0.5097872628278121
1,Fanny Pack,887,187,0.21082299887260428,126,455,0.14205186020293123,0.5129650507328072,-0.3709131905298759,0.12061851728540224,0.16657238174760208,0.48008597977081063,0.5457323026264191
1,Stone,887,214,0.24126268320180383,124,457,0.13979706877113868,0.5152198421645998,-0.37542277339346114,0.11852524930246393,0.16417551366145697,0.48233520475387265,0.5479732137124405
1,Lump of Coal,887,178,0.20067643742953778,118,463,0.133032694475761,0.5219842164599775,-0.3889515219842165,0.11225748439520278,0.1569728703614678,0.4890868755471886,0.5546919511263748
1,Pocket Sand,887,172,0.1939120631341601,108,473,0.12175873731679819,0.5332581736189402,-0.41149943630214203,0.10185398627000415,0.14492568814124923,0.5003530022038261,0.5658765048151546
1,Whetstone,887,170,0.19165727170236754,106,475,0.11950394588500564,0.5355129650507328,-0.41600901916572713,0.09978014454555287,0.14250939379661706,0.5026082331379812,0.5681114099500829
1,Wooden Buckler,887,160,0.18038331454340473,101,480,0.11386696730552424,0.5411499436302142,-0.4272829763246899,0.0946062311149634,0.13645796705449792,0.5082492427145285,0.5736957405462443
1,Walrus Tusk,887,155,0.17474633596392333,90,491,0.10146561443066517,0.5535512965050733,-0.45208568207440814,0.08328171433008533,0.12308673545941709,0.5206742579114713,0.5859664737292604
1,Health Potion,887,85,0.09582863585118377,63,518,0.07102593010146561,0.5839909808342728,-0.5129650507328072,0.05590657734100664,0.08984503551586938,0.5512591748784883,0.6159983936948699
1,Chipped Emerald,887,82,0.09244644870349493,61,520,0.06877113866967305,0.5862457722660653,-0.5174746335963922,0.0539086957640532,0.08735278102373938,0.5535297110933566,0.618217993549085
1,Chipped Amethyst,887,82,0.09244644870349493,57,524,0.06426155580608793,0.5907553551296505,-0.5264937993235626,0.049928271234889826,0.08235293341473587,0.5580728717992618,0.6226551049813465
1,Chipped Topaz,887,89,0.10033821871476889,54,527,0.060879368658399095,0.5941375422773394,-0.5332581736189403,0.04695734977273101,0.07858865077326954,0.5614820763523103,0.6259811045319232
1,Spear,887,64,0.07215332581736189,53,528,0.05975197294250282,0.5952649379932357,-0.5355129650507329,0.045969968447386725,0.07733096406407211,0.5626188283987382,0.6270894205200369
1,Chipped Ruby,887,66,0.07440811724915446,51,530,0.05749718151071026,0.5975197294250282,-0.5400225479143179,0.04399982492687462,0.07481097151550078,0.5648928596731414,0.6293055253147172
1,Blueberries,887,69,0.0777903043968433,40,541,0.04509582863585118,0.6099210822998873,-0.5648252536640361,0.033289935254761954,0.06082511280765453,0.5774126781076346,0.641481455260183
1,Stamina Sack,887,64,0.07215332581736189,39,542,0.043968432919954906,0.6110484780157835,-0.5670800450958287,0.03232848775694212,0.05954149227093264,0.5785519118912994,0.6425872895110598
1,Chipped Sapphire,887,58,0.06538895152198422,37,544,0.04171364148816235,0.6133032694475761,-0.5715896279594137,0.030412687137695397,0.056967156821095925,0.5808309175058389,0.6447984199656037
1,Hammer,887,41,0.046223224351747465,35,546,0.03945885005636979,0.6155580608793687,-0.576099210822999,0.02850694966954754,0.05438275822016036,0.5831106424268083,0.6470088311137178
1,Deck of Cards,887,43,0.048478015783540024,30,551,0.033821871476888386,0.62119503945885,-0.5873731679819616,0.023792276788583526,0.047872090928415774,0.5888131172196249,0.6525316964936099
1,Potion Belt,887,44,0.0496054114994363,27,554,0.030439684329199548,0.6245772266065389,-0.5941375422773394,0.0210028899049118,0.043926273708462346,0.5922367829379763,0.6558432348788835
1,Bag of Stones,887,42,0.04735062006764374,26,555,0.029312288613303268,0.6257046223224352,-0.5963923337091319,0.0200806583889381,0.042603437189894316,0.593378370222545,0.6569467156288566
1,Dagger,887,39,0.043968432919954906,26,555,0.029312288613303268,0.6257046223224352,-0.5963923337091319,0.0200806583889381,0.042603437189894316,0.593378370222545,0.6569467156288566
1,The Lovers,887,27,0.030439684329199548,23,558,0.02593010146561443,0.629086809470124,-0.6031567080045095,0.017339647568476245,0.03860924390673102,0.5968042328196596,0.6602560571353672
1,Amulet of Darkness,887,25,0.02818489289740699,21,560,0.02367531003382187,0.6313416009019166,-0.6076662908680948,0.015536354674713683,0.03592240073141015,0.5990890618850587,0.6624613641390514
1,Amulet of the Wild,887,27,0.030439684329199548,20,561,0.02254791431792559,0.6324689966178129,-0.6099210822998873,0.014642871617918113,0.034570815753664,0.6002317536535595,0.6635637404050925
1,Customer Card,887,30,0.033821871476888386,19,562,0.02142051860202931,0.6335963923337091,-0.6121758737316798,0.013755340276128753,0.033213279060911635,0.6013746307157671,0.6646659313774265
1,Amulet of Steel,887,23,0.02593010146561443,18,563,0.020293122886133032,0.6347237880496054,-0.6144306651634723,0.012874202902508524,0.03184934839999015,0.6025176934292555,0.6657679366984799
1,Flame Badge,887,26,0.029312288613303268,18,563,0.020293122886133032,0.6347237880496054,-0.6144306651634723,0.012874202902508524,0.03184934839999015,0.6025176934292555,0.6657679366984799
1,Stone Badge,887,30,0.033821871476888386,18,563,0.020293122886133032,0.6347237880496054,-0.6144306651634723,0.012874202902508524,0.03184934839999015,0.6025176934292555,0.6657679366984799
1,Amulet of Life,887,18,0.020293122886133032,16,565,0.018038331454340473,0.636978579481398,-0.6189402480270576,0.011133185224058038,0.029100230009357193,0.6048043772613869,0.667971388935432
1,Box of Riches,887,35,0.03945885005636979,16,565,0.018038331454340473,0.636978579481398,-0.6189402480270576,0.011133185224058038,0.029100230009357193,0.6048043772613869,0.667971388935432
1,Gloves of Haste,887,34,0.038331454340473504,15,566,0.016910935738444193,0.6381059751972943,-0.6211950394588501,0.010274533625718594,0.02771381357315492,0.6059479991163004,0.6690728351150601
1,Leaf Badge,887,25,0.02818489289740699,15,566,0.016910935738444193,0.6381059751972943,-0.6211950394588501,0.010274533625718594,0.02771381357315492,0.6059479991163004,0.6690728351150601
1,Amulet of Alchemy,887,25,0.02818489289740699,14,567,0.015783540022547914,0.6392333709131905,-0.6234498308906427,0.009424767195352334,0.026318511968979462,0.607091808095107,0.6701740941707953
1,Pineapple,887,19,0.02142051860202931,14,567,0.015783540022547914,0.6392333709131905,-0.6234498308906427,0.009424767195352334,0.026318511968979462,0.607091808095107,0.6701740941707953
1,Leather Armor,887,18,0.020293122886133032,13,568,0.014656144306651634,0.6403607666290868,-0.6257046223224352,0.008584776436130953,0.02491343469365912,0.6082358045767178,0.6712751657237261
1,Puzzle Badge,887,18,0.020293122886133032,13,568,0.014656144306651634,0.6403607666290868,-0.6257046223224352,0.008584776436130953,0.02491343469365912,0.6082358045767178,0.6712751657237261
1,Amulet of Fortune,887,18,0.020293122886133032,11,570,0.012401352874859075,0.6426155580608793,-0.6302142051860202,0.006938539556155074,0.022069535504551565,0.6105243615859189,0.6734767447836084
1,Leather Boots,887,16,0.018038331454340473,11,570,0.012401352874859075,0.6426155580608793,-0.6302142051860202,0.006938539556155074,0.022069535504551565,0.6105243615859189,0.6734767447836084
